Agency,Advertiser,Product,Estimate,Market Code,Market Rank,Market,Network,Station,Media Type,Week Of,Type of Demographic,Demographic,Air Date,Air Day,Air Time,ISCI Length,Air ISCI,Cmml Title,Aired Prg Name,Est Ratings,Act Ratings,Act Impression,Rtg Source,Air Count,Air Detected Event,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,CBS,WCBS,Spot,01/01/2018,1,AD18-54,01/01/2018,Monday,18:17:49,30,2TWNCTOK010,Nasacort OKeeffes,CBS 2 News at 6PM,0.00,0.65,60318,LPM/LV_0101,1,1753005854,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,CBS,WCBS,Spot,01/01/2018,2,AD35-64,01/01/2018,Monday,18:17:49,30,2TWNCTOK010,Nasacort OKeeffes,CBS 2 News at 6PM,0.00,1.10,86620,LPM/LV_0101,1,1753005854,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,CBS,WCBS,Spot,01/01/2018,1,AD18-54,01/02/2018,Tuesday,18:18:02,30,2TWNCTOK010,Nasacort OKeeffes,CBS 2 News at 6PM,0.00,1.07,100471,LPM/LV_0102,1,1753848076,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,CBS,WCBS,Spot,01/01/2018,2,AD35-64,01/02/2018,Tuesday,18:18:02,30,2TWNCTOK010,Nasacort OKeeffes,CBS 2 News at 6PM,0.00,2.09,164061,LPM/LV_0102,1,1753848076,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,CBS,WCBS,Spot,01/08/2018,1,AD18-54,01/10/2018,Wednesday,18:10:54,30,2TWNCTOK010,Nasacort OKeeffes,CBS 2 News at 6PM,0.00,0.51,47880,LPM/LV_0110,1,1760634142,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,CBS,WCBS,Spot,01/08/2018,2,AD35-64,01/10/2018,Wednesday,18:10:54,30,2TWNCTOK010,Nasacort OKeeffes,CBS 2 News at 6PM,0.00,0.90,71026,LPM/LV_0110,1,1760634142,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,CBS,WCBS,Spot,01/08/2018,1,AD18-54,01/11/2018,Thursday,17:22:54,30,2TWNCTOK010,Nasacort OKeeffes,CBS 2 News at 5PM,0.00,0.53,49505,LPM/LV_0111,1,1761490914,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,CBS,WCBS,Spot,01/08/2018,2,AD35-64,01/11/2018,Thursday,17:22:54,30,2TWNCTOK010,Nasacort OKeeffes,CBS 2 News at 5PM,0.00,1.63,128266,LPM/LV_0111,1,1761490914,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,CBS,WCBS,Spot,01/15/2018,1,AD18-54,01/16/2018,Tuesday,17:12:57,30,2TWNCTOK010,Nasacort OKeeffes,CBS 2 News at 5PM,0.00,0.56,52733,LPM/LV_0116,1,1765762414,
Cadent,Chattem-OKeeffe,Chattam-OKeeffe,2000,101,1,New York  NY,CBS,WCBS,Spot,01/15/2018,2,AD35-64,01/16/2018,Tuesday,17:12:57,30,2TWNCTOK010,Nasacort OKeeffes,CBS 2 News at 5PM,0.00,1.33,104877,LPM/LV_0116,1,1765762414,
