Station,Daypart,Spots,Length,A25-54,Daypart Code
KCPQ,M-F 7AM-8AM,1,30,6.7,EM05
KCPQ,M-F 8AM-9AM,3,30,6.7,EM04
KCPQ,M-F 9AM-10AM,1,30,6.7,EM03
KCPQ,Sa-Su 6AM-9AM,1,30,6.7,EM02
KCPQ,Sa-Su 9AM-10AM,1,30,6.7,EM01
KDFW,M-F 6AM-7AM,2,30,7.6,EM06
KDFW,M-F 7AM-8AM,2,30,7.6,EM05
KDFW,M-F 8AM-9AM,1,30,7.6,EM04
KDFW,M-F 9AM-10AM,1,30,7.6,EM03
KDFW,Sa-Su 9AM-10AM,1,30,7.6,EM01
KENS,M-F 5AM-6AM,3,30,6.6,EM07
KENS,M-F 9AM-10AM,1,30,6.6,EM03
KENS,Sa-Su 9AM-10AM,6,30,6.6,EM01
KFMB,Sa-Su 9AM-10AM,2,30,6.6,EM01
KHOU,M-F 8AM-9AM,1,30,6.6,EM04
KHOU,M-F 9AM-10AM,1,30,6.6,EM03
KHOU,Sa-Su 9AM-10AM,1,30,6.6,EM01
KKTV,M-F 8AM-9AM,2,30,6.6,EM04
KKTV,M-F 9AM-10AM,2,30,6.6,EM03
KKTV,Sa-Su 9AM-10AM,1,30,6.6,EM01
KMBC,M-F 7AM-8AM,2,30,6.6,EM05
KMBC,M-F 8AM-9AM,3,30,6.6,EM04
KMBC,M-F 9AM-10AM,1,30,6.6,EM03
KMBC,Sa-Su 9AM-10AM,1,30,6.6,EM01
KOAA,M-F 6AM-7AM,2,30,6.6,EM06
KOAA,M-F 7AM-8AM,2,30,6.6,EM05
KOKH,M-F 5AM-6AM,1,30,6.6,EM07
KOKH,Sa-Su 9AM-10AM,2,30,6.6,EM01
KRQE,M-F 7AM-8AM,2,30,6.6,EM05
KRQE,Sa-Su 6AM-9AM,2,30,6.6,EM02
KSBW,M-F 6AM-7AM,3,30,6.6,EM06
KSBW,Sa-Su 6AM-9AM,4,30,6.6,EM02
KUSI,M-F 7AM-8AM,4,30,6.6,EM05
KUSI,M-F 8AM-9AM,4,30,6.6,EM04
KXRM,Sa-Su 9AM-10AM,3,30,6.6,EM01
WACH,M-F 7AM-8AM,2,30,6.6,EM05
WACH,Sa-Su 6AM-9AM,2,30,6.6,EM02
WAFB,Sa-Su 9AM-10AM,2,30,6.6,EM01
WAGA,M-F 7AM-8AM,2,30,6.6,EM05
WANE,M-F 6AM-7AM,1,30,6.6,EM06
WANE,M-F 7AM-8AM,1,30,6.6,EM05
WANE,M-F 8AM-9AM,2,30,6.6,EM04
WANE,M-F 9AM-10AM,1,30,6.6,EM03
WANE,Sa-Su 9AM-10AM,1,30,6.6,EM01
WBBH,M-F 7AM-8AM,1,30,6.6,EM05
WBBH,M-F 8AM-9AM,1,30,6.6,EM04
WBBH,M-F 9AM-10AM,3,30,6.6,EM03
WBBH,Sa-Su 9AM-10AM,2,30,6.6,EM01
WBBM,M-F 5AM-6AM,1,30,6.6,EM07
WBBM,M-F 9AM-10AM,1,30,6.6,EM03
WBBM,Sa-Su 6AM-9AM,1,30,6.6,EM02
WBBM,Sa-Su 9AM-10AM,1,30,6.6,EM01
WBRC,M-F 5AM-6AM,1,30,6.6,EM07
WBRC,M-F 9AM-10AM,1,30,6.6,EM03
WBRC,Sa-Su 9AM-10AM,1,30,6.6,EM01
WBZ,M-F 6AM-7AM,5,30,6.6,EM06
WCBS,M-F 5AM-6AM,1,30,6.6,EM07
WCBS,M-F 7AM-8AM,2,30,6.6,EM05
WCBS,M-F 8AM-9AM,1,30,6.6,EM04
WCBS,M-F 9AM-10AM,4,30,6.6,EM03
WCBS,Sa-Su 6AM-9AM,1,30,6.6,EM02
WCBS,Sa-Su 9AM-10AM,1,30,6.6,EM01
WCCB,M-F 7AM-8AM,2,30,6.6,EM05
WCCB,M-F 8AM-9AM,2,30,6.6,EM04
WCCB,M-F 9AM-10AM,2,30,6.6,EM03
WCCB,Sa-Su 6AM-9AM,2,30,6.6,EM02
WCVB,M-F 5AM-6AM,1,30,6.6,EM07
WCVB,M-F 6AM-7AM,1,30,6.6,EM06
WCVB,M-F 9AM-10AM,3,30,6.6,EM03
WCVB,Sa-Su 9AM-10AM,6,30,6.6,EM01
WDIV,M-F 5AM-6AM,1,30,6.6,EM07
WDIV,M-F 6AM-7AM,1,30,6.6,EM06
WDIV,M-F 7AM-8AM,3,30,6.6,EM05
WDIV,Sa-Su 9AM-10AM,1,30,6.6,EM01
WESH,M-F 7AM-8AM,4,30,6.6,EM05
WFLD,M-F 7AM-8AM,1,30,6.6,EM05
WFLD,M-F 8AM-9AM,6,30,6.6,EM04
WFOR,M-F 6AM-7AM,4,30,6.6,EM06
WFOR,M-F 7AM-8AM,2,30,6.6,EM05
WFOR,Sa-Su 9AM-10AM,2,30,6.6,EM01
WFTX,M-F 6AM-7AM,2,30,6.6,EM06
WFTX,M-F 7AM-8AM,2,30,6.6,EM05
WFTX,M-F 8AM-9AM,1,30,6.6,EM04
WFXT,Sa-Su 6AM-9AM,6,30,6.6,EM02
WGCL,M-F 6AM-7AM,1,30,6.6,EM06
WGCL,Sa-Su 9AM-10AM,1,30,6.6,EM01
WHAG,M-F 6AM-7AM,2,30,6.6,EM06
WHAG,Sa-Su 9AM-10AM,3,30,6.6,EM01
WHDH,M-F 7AM-8AM,1,30,6.6,EM05
WHDH,M-F 8AM-9AM,1,30,6.6,EM04
WHDH,M-F 9AM-10AM,1,30,6.6,EM03
WHDH,Sa-Su 6AM-9AM,10,30,6.6,EM02
WHDH,Sa-Su 9AM-10AM,2,30,6.6,EM01
WHP,M-F 7AM-8AM,2,30,6.6,EM05
WHP,M-F 8AM-9AM,1,30,6.6,EM04
WILX,M-F 5AM-6AM,3,30,6.6,EM07
WILX,Sa-Su 9AM-10AM,1,30,6.6,EM01
WIVB,Sa-Su 6AM-9AM,1,30,6.6,EM02
WIVB,Sa-Su 9AM-10AM,4,30,6.6,EM01
WJBK,M-F 9AM-10AM,9,30,6.6,EM03
WJBK,Sa-Su 6AM-9AM,6,30,6.6,EM02
WJBK,Sa-Su 9AM-10AM,5,30,6.6,EM01
WJLA,M-F 5AM-6AM,3,30,6.6,EM07
WJLA,M-F 9AM-10AM,3,30,6.6,EM03
WKCF,M-F 6AM-7AM,3,30,6.6,EM06
WKEF,M-F 5AM-6AM,2,30,6.6,EM07
WKEF,M-F 9AM-10AM,3,30,6.6,EM03
WKMG,M-F 6AM-7AM,6,30,6.6,EM06
WKMG,Sa-Su 9AM-10AM,1,30,6.6,EM01
WLNE,M-F 6AM-7AM,6,30,6.6,EM06
WLOS,M-F 7AM-8AM,1,30,6.6,EM05
WLOS,M-F 8AM-9AM,2,30,6.6,EM04
WNAC,M-F 6AM-7AM,1,30,6.6,EM06
WNBC,M-F 9AM-10AM,2,30,6.6,EM03
WNBC,Sa-Su 9AM-10AM,3,30,6.6,EM01
