1Q 2017,,,,,,,,,,,,,,,,
MARKET,STATION,Start Date,End Date,LEN,AFFIL,DAYPART,ROTATION,TIMES,PROGRAM, 30 RATE,AD2554,HH,WM2554,AD1849,AD3564,WM3564
,,,,,,,,,,,,,,,,
"ALBANY-SCHNCTDY-TROY, NY",WRGB-TV,12/26/16,3/26/2017,30,CBS,EFR,M-F,4-5P,ELLEN,235.00 ,9.10 ,23.20 ,5.70 ,8.40 ,14.00 ,9.00 
"ALBANY-SCHNCTDY-TROY, NY",WRGB-TV,12/26/16,3/26/2017,30,CBS,EFR,SUN,9-1030A,CBS SUNDAY MORNIN,275.00 ,12.80 ,30.70 ,6.00 ,10.30 ,19.10 ,11.30 
"ALBANY-SCHNCTDY-TROY, NY",WRGB-TV,12/26/16,3/26/2017,30,CBS,EFR,SUN,1030-11A,FACE THE NATION,175.00 ,8.50 ,17.00 ,3.50 ,8.00 ,12.00 ,7.00 
"ALBANY-SCHNCTDY-TROY, NY",WRGB-TV,12/26/16,3/26/2017,30,CBS,EFR,SUN,11-1130A,SHARYL ATTKISSON,100.00 ,4.00 ,14.50 ,2.00 ,4.00 ,7.50 ,5.00 
"ALBANY-SCHNCTDY-TROY, NY",WRGB-TV,12/26/16,3/26/2017,30,CBS,LFR,M-F,1237A-137A,LATE LATE SHOW CO,65.00 ,1.50 ,4.60 ,0.80 ,1.00 ,2.90 ,1.80 
"ATLANTA, GA CVG=1.49",WXIA-TV,12/26/16,3/26/2017,30,NBC,LFR,SUN,1205-1235A,11 ALIVE NEWS TON,550.00 ,31.10 ,16.40 ,17.30 ,25.30 ,42.10 ,25.60 
"ATLANTA, GA CVG=1.49",WXIA-TV,12/26/16,3/26/2017,30,NBC,LFR,SUN,1205A-105A,EXTRA WEEKEND,200.00 ,3.30 ,13.80 ,2.50 ,3.30 ,9.60 ,6.60 
"ATLANTA, GA CVG=1.49",WXIA-TV,12/26/16,3/26/2017,30,NBC,LFR,SUN,1135P-1205A,SPORTS EXTRA,300.00 ,9.20 ,22.80 ,3.70 ,8.90 ,18.40 ,9.20 
"ATLANTA, GA CVG=1.49",WXIA-TV,12/26/16,3/26/2017,30,NBC,ENW,M-F,5-6P,11 ALIVE NEWS AT,350.00 ,19.70 ,62.70 ,15.40 ,15.30 ,38.40 ,27.90 
"ATLANTA, GA CVG=1.49",WXIA-TV,12/26/16,3/26/2017,30,NBC,ENW,M-F,6-630P,11 ALIVE NEWS-6PM,400.00 ,27.30 ,82.70 ,17.00 ,20.40 ,52.40 ,33.90 
"ATLANTA, GA CVG=1.49",WXIA-TV,12/26/16,3/26/2017,30,NBC,ENW,M-F,630-7P,NBC NITELY NEWS,0.00 ,47.20 ,125.00 ,26.70 ,37.20 ,80.20 ,48.00
